Compared With,Repeat,Pseudo-F,p-value
D014607,3,5.1927538725903295,0.002
D014607,4,7.261249926732834,0.001
D014607,5,6.877463665604026,0.001
D014607,6,7.273440170656668,0.001
D014607,7,7.668238276194056,0.001
D014607,8,4.394249633799476,0.003
D014607,9,4.344022649227706,0.003
D014607,10,4.201506401305378,0.002
D015179,1,1.177256294772094,0.275
D015179,2,1.0768506381299658,0.379
D015179,3,1.2094062755796011,0.212
D015179,4,1.3016977273759327,0.194
D015179,5,1.1722768104851764,0.274
D015179,6,0.7549358649975778,0.733
D015179,7,2.1899361506612234,0.013
D015179,8,0.921656412549047,0.519
D015179,9,1.0627411130494866,0.373
D015179,10,1.2831092004578892,0.188
D015212,1,1.664598208586396,0.041
D015212,2,1.293127824336652,0.176
D015212,3,1.3592810284766133,0.186
D015212,4,2.1428664083523636,0.013
D015212,5,1.5127682944165513,0.102
D015212,6,0.8203890681739389,0.608
D015212,7,1.8213448937303487,0.025
D015212,8,2.4524135150468735,0.01
D015212,9,1.1462809514168515,0.264
D015212,10,1.4456600461895766,0.112
D015497,1,5.4920913213257245,0.001
D015497,2,7.609887985114518,0.001
D015497,3,10.508486398222335,0.001
D015497,4,7.087480498427111,0.001
D015497,5,6.816478749677102,0.001
D015497,6,10.720962063891706,0.001
D015497,7,8.26562396190589,0.001
D015497,8,11.175647880015012,0.001
D015497,9,8.356463453879988,0.001
D015497,10,6.425587795473212,0.001
D016360,1,5.837758546748235,0.001
D016360,2,3.5809488449129105,0.001
D016360,3,5.009919201967342,0.001
D016360,4,4.405856560516257,0.001
D016360,5,3.888921197451789,0.001
D016360,6,3.932195222530715,0.001
D016360,7,4.4993384916457035,0.001
D016360,8,4.430121254414969,0.001
D016360,9,5.605840699764586,0.001
D016360,10,4.540353600682791,0.001
D016640,1,2.8791251261623487,0.008
D016640,2,3.868896727153845,0.001
D016640,3,4.041006087144438,0.002
D016640,4,2.8303323157713276,0.005
D016640,5,2.2717545772664773,0.007
D016640,6,2.7916122200634743,0.004
D016640,7,4.608382845803097,0.001
D016640,8,3.2756648610489396,0.002
D016640,9,2.366713638024446,0.026
D016640,10,6.5780972787411995,0.001
D016918,1,6.464894993419783,0.001
D016918,2,8.659699598135468,0.001
D016918,3,8.383487693202824,0.002
D016918,4,8.203474829230426,0.001
D016918,5,9.510502925036562,0.001
D016918,6,8.750353370161504,0.001
D016918,7,10.103822303503552,0.001
D016918,8,7.363364188973459,0.001
D016918,9,9.175499733437924,0.001
D016918,10,6.97584892528424,0.001
D019337,1,8.396764642927577,0.001
D019337,2,7.049552335711444,0.001
D019337,3,7.7476009110057085,0.001
D019337,4,10.074486520701907,0.001
D019337,5,11.63145416038457,0.001
D019337,6,6.551671227514412,0.001
D019337,7,9.724878537977276,0.001
D019337,8,7.929102521066681,0.001
D019337,9,8.274286773667278,0.001
D019337,10,7.289930677152937,0.001
D024821,1,9.007733260341166,0.001
D024821,2,9.846428971948692,0.001
D024821,3,8.179844792822562,0.001
D024821,4,7.656795847253676,0.001
D024821,5,9.946850945840037,0.001
D024821,6,7.32592182397395,0.001
D024821,7,7.431146256926209,0.001
D024821,8,10.611624264493303,0.001
D024821,9,10.409323873429672,0.001
D024821,10,12.102578533240628,0.001
D037841,1,2.2231497588071774,0.023
D037841,2,2.830844779372509,0.004
D037841,3,3.0304642503505597,0.006
D037841,4,4.98968757971995,0.001
D037841,5,2.8563686247761173,0.005
D037841,6,3.2688009878410096,0.001
D037841,7,2.6629801552703003,0.003
D037841,8,2.194721448327116,0.014
D037841,9,2.942115315468266,0.001
D037841,10,1.9166220222846158,0.026
D043183,1,1.7405839065997841,0.038
D043183,2,3.576082774170598,0.003
D043183,3,2.4906638689172924,0.016
D043183,4,2.0261956255134277,0.037
D043183,5,2.4661478921193316,0.007
D043183,6,1.4201982455875954,0.105
D043183,7,2.6005900312275756,0.004
D043183,8,2.680757256127995,0.003
D043183,9,1.9282621728522908,0.017
D043183,10,2.239809023842519,0.015
D050031,1,14.22379353370703,0.001
D050031,2,14.928786706401844,0.001
D050031,3,13.524521164519452,0.001
D050031,4,14.936938328107995,0.001
D050031,5,12.86341730545294,0.001
D050031,6,13.054532074349591,0.001
D050031,7,17.974785316424683,0.001
D050031,8,22.32110499326911,0.001
